id,updated_at,brand_id,name_en,name,category,sub_category,equipment_type,pulley_ratio,bar_weight,has_weight_assist,min_stack,max_stack,stack_weight,image_url,bar_weight_unit,stack_unit,is_freeweight
03814c50-4988-42fa-9358-b09ded728116,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Abdominal Crunch,어브도미널 크런치 머신,core,abs,machine,1,,FALSE,5,75,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/d8449d940dc57.png?w=1920,,kg,FALSE
13052afb-36e6-4fef-8e5d-e6048c40e9a6,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Advance Incline Chest Press,인클라인 체스트 프레스 머신,chest,upper_chest,machine,0.5,,FALSE,5,100,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20230607/e87c83733fc1e.png,,kg,FALSE
27632a4b-d5e9-40df-ba5a-6152d4153619,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Advance Lat Pulldown,랫 풀다운,back,upper_back,machine,0.5,,FALSE,5,125,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20241005/a185de1752b78.png?w=750,,kg,FALSE
b4975333-9543-4b69-8926-dd3c9e4e0fb6,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Advance Pec Deck Fly (Reverse),펙덱 플라이 머신 (리버스),shoulders,rear_delt,machine,0.5,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/3187d893538c7.png?w=1920,,kg,FALSE
b2640296-a9cf-4722-a1b3-2eafeab53059,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Advance Power Leg Press,파워 레그 프레스 머신,legs,quads,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20241121/f753231d59394.png?w=750,,kg,FALSE
e4913cd6-efd3-43d5-981a-45b5bc239977,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Advance Seated Chest Press,시티드 체스트 프레스 머신,chest,mid_chest,machine,0.5,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20230720/fa550808f1e55.png?w=750,,kg,FALSE
8b92bac4-98be-4277-bae3-e45b39629d22,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Advance Seated Dip,시티드 딥 머신,arms,triceps,machine,1,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/0cebcf43f4d2c.png?w=1920,,kg,FALSE
74a84bde-b231-4aa9-9046-e1e1c935bada,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Advance Shoulder Press,숄더 프레스 머신,shoulders,front_delt,machine,0.5,,FALSE,5,125,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20241005/d7807c4933046.png,,kg,FALSE
c7ed172e-530b-4053-8970-76a1af1db288,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Arm Curl,암 컬 머신,arms,biceps,machine,1,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/e17a42e266f75.png?w=1920,,kg,FALSE
2ca108c5-6153-5b7b-9b22-530ef902178c,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Assisted Dip/Chin,어시스티드 딥/친 머신,arms,triceps,machine,1,,TRUE,5,90,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20240617/2bb862c9e5f32.png,,kg,FALSE
e94bec5c-a634-58e9-872f-8f63eee2b625,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Cable,케이블 머신,back,upper_back,cable,0.5,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/8589dc9bb2705.png?w=1920,,kg,FALSE
4989dc12-d0be-580d-a9b6-219ebd81add2,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Chest Press,체스트 프레스 머신,chest,mid_chest,machine,1,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/f7668612634b3.png?w=1920,,kg,FALSE
1f50a13b-9e6a-4735-99e0-ee1c288d7678,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,GHD 90° Roman Chair,GHD 90° 로만 체어,back,lower_back,machine,1,,FALSE,,,,https://cdn-optimized.imweb.me/thumbnail/20240626/6961d356cc86b.png?w=750,,,FALSE
602a5d88-860c-4e29-b93f-274a45b7278e,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Hack Squat,핵 스쿼트 머신,legs,quads,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/684825218fff3.png?w=1920,,kg,FALSE
3194d412-0a32-505b-a2a7-ab0432506d7f,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Hip adduction/abduction,힙 어덕션/어브덕션 머신,legs,,machine,1,,FALSE,7.5,112.5,"{""value"": 7.5}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/3cd7160914a90.png?w=1920,,kg,FALSE
59c360a7-6bab-5bdd-af4f-f642a0b29089,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Incline Press,인클라인 프레스 머신,chest,upper_chest,machine,1,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20240522/1c243ca2c28cd.png?w=750,,kg,FALSE
fa0d0b81-9759-5f4b-8567-ba9a23a0a4ea,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Lat Pulldown,랫 풀다운 머신,back,upper_back,machine,1,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/93d9d1adb3521.png?w=1920,,kg,FALSE
ca9ba9fb-5a5a-56c1-9937-73c500b62220,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Leg extension,레그 익스텐션,legs,quads,machine,1,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/11b75d83d3544.png?w=1920,,kg,FALSE
351ce983-fa20-5676-a05c-37e7cf9b4837,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Leg Press,레그 프레스,legs,quads,machine,1,,FALSE,0,300,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/b7474b69a0fa5.png?w=1920,,kg,FALSE
dc823fdb-8cc0-59db-8d4a-7fd03575723d,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Low Pulley (Seated Cable Row),시티드 케이블 로우 / 로우 풀리,back,lower_back,machine,1,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/a32479704072f.png?w=1920,,kg,FALSE
7bb7197f-89dc-466a-906d-15e1b8b0906b,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Lying Leg Curl,라잉 레그 컬,legs,hamstrings,machine,0.5,,FALSE,5,125,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20240523/e756323f97a73.png?w=750,,kg,FALSE
be8c8a43-281e-5331-8539-e5ecf1b2cba1,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,M-Torture Front Row,프론트 로우 머신,back,upper_back,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20241121/2cfe49146dca0.png,,kg,FALSE
e6a22037-ad56-4e23-b10f-1d718a443276,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Over Head Extension,오버헤드 익스텐션,arms,triceps,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/50f93dec07c95.png?w=1920,,kg,FALSE
344e3a37-a266-477b-8ffd-3f03e00cf2c8,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Pec Deck Fly,펙덱 플라이,chest,mid_chest,machine,0.5,,FALSE,0,120,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20250227/cae9d020a3231.png,,kg,FALSE
9f5ad84b-ff44-5267-83e5-b1eaf7e3bf8d,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Pec Deck Fly With Reverse,펙덱 플라이 / 리버스 펙덱,shoulders,rear_delt,machine,0.5,,FALSE,5,100,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20240522/aa328f063b4cf.png,,kg,FALSE
209b9675-eca3-4bb8-8246-42ffd3c88bfe,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Plate Decline Chest Press,플레이트 디클라인 체스트 프레스,chest,lower_chest,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20240626/433451d3302e8.png,,kg,FALSE
67ee5817-ce22-40e8-b40d-96a8c505cba4,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Preacher Curl,프리처 컬,arms,biceps,machine,1,7.5,FALSE,0,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20240626/238370125d653.png?w=750,kg,kg,FALSE
f9fadf1e-6004-5297-b8d3-7b7a9c1a1bb1,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Seated Leg Press,시티드 레그 프레스,legs,quads,machine,1,,FALSE,7.5,150,"{""value"": 7.5}",https://cdn.imweb.me/thumbnail/20241005/64aa6299f0cb8.png,,kg,FALSE
a97c569a-fda7-5431-b694-14fac355921d,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Shoulder Press,숄더 프레스,shoulders,front_delt,machine,0.5,,FALSE,5,100,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20241121/ac128c9f39f24.png,,kg,FALSE
8382e747-afcd-470b-b41f-7a0dd3e2a834,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Side Lateral Raise,사이드 레터럴 레이즈,shoulders,side_delt,machine,1,,FALSE,5,100,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20240617/cef87581efb74.png?w=750,,kg,FALSE
71cd26ee-394a-4669-9e1a-c4fdc554dc9e,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Chest & Decline Combo,토크 라인 체스트 & 디클라인 콤보,chest,lower_chest,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20231104/02e790ae82f67.png?w=750,,kg,FALSE
e4b68832-bd2d-4996-a062-f08c96736e23,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Front Row,토크 라인 프론트 로우,back,upper_back,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/f14b562d56395.png?w=1920,,kg,FALSE
67bda34c-d1b7-4ae7-aa43-11bb74ae40a7,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Incline Chest Press,토크 라인 인클라인 체스트 프레스,chest,upper_chest,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20241223/86f8f1556274f.png?w=750,,kg,FALSE
9e7a9577-1a5e-49bf-bf5c-7a990bbdb227,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Kneeling Leg Curl,토크 라인 닐링 레그 컬,legs,hamstrings,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/b9198460dbaa3.png?w=1920,,kg,FALSE
d5123039-4a87-4e5c-97fd-bfcff2e65ed8,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Low Row,토크 라인 로우 로우,back,lower_back,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/950078b9074c3.png?w=1920,,kg,FALSE
98aeba22-b028-49c2-adfb-b74ac5384589,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Seated Row,토크 라인 시티드 로우,back,lower_back,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/73e8ab4cc699b.png?w=1920,,kg,FALSE
77138264-6d7e-422d-b23f-033ffab52c10,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Shoulder Press,토크 라인 숄더 프레스,shoulders,front_delt,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20241121/ac128c9f39f24.png?w=750,,kg,FALSE
814ba304-6aa1-4ba7-ba97-04df06fd8848,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Wide Chest Press,토크 라인 와이드 체스트 프레스,chest,mid_chest,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20240628/d852b1c7e8cd9.png?w=750,,kg,FALSE
724fbe01-a574-4b36-a28e-dcdcfdfcdae5,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Wide Pulldown Front,토크 라인 와이드 풀다운 프론트,back,upper_back,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn.imweb.me/thumbnail/20240604/e340605775f8c.png,,kg,FALSE
b9b0ee51-610e-4546-bbf1-6172c3736808,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,Torque Line Wide Pulldown Rear,토크 라인 와이드 풀다운 리어,back,upper_back,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://cdn-optimized.imweb.me/thumbnail/20241121/425aa3e3731ba.png?w=750,,kg,FALSE
41428c51-d3da-45dc-8d06-316247033d1d,2026-06-04T08:30:35.872252,1decce92-8e90-5ce9-94c4-d66989a4981d,V-Squat,브이스쿼트,legs,quads,machine,1,,FALSE,0,120,"{""value"": 5.0}",https://sposportsmall.co.kr/web/product/big/202401/f287ccb309db321df1804e002b6c09cf.png,,kg,FALSE
f6fe186b-bff6-40ee-9672-23abbe856b6d,2026-05-31T16:26:28.901057,2eec52b6-35a4-57ee-8591-72283071f9e3,Smith machine,스미스 머신,legs,quads,machine,1,15,FALSE,0,300,"{""value"": 5.0}",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6xrYDCkgJFCB8NSAZiN0syaDa-A4zpA7E9A&s,kg,kg,TRUE
df067c60-2308-4fde-b89c-f23caa796db7,2026-06-04T08:30:35.872252,2eec52b6-35a4-57ee-8591-72283071f9e3,Hack Squat,핵스쿼트,legs,quads,machine,1,40,FALSE,0,310,"{""value"": 5.0}",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiS1TConvVGJAaQdrDHTKVBaKtC4P3cmuEhQ&s,kg,kg,FALSE
0375f89d-ad2e-42bc-a2c7-3a4482e0ffbc,2026-06-04T08:30:35.872252,2eec52b6-35a4-57ee-8591-72283071f9e3,Leg Curl,레그 컬,legs,hamstrings,machine,1,,FALSE,5,50,"{""value"": 5.0}",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRANnj8kQV5UoaPZPr6NHyl2cG4MuXxk1b6ow&s,,kg,FALSE
7331485c-c1c0-4798-b157-b1cac104f378,2026-06-04T08:30:35.872252,2eec52b6-35a4-57ee-8591-72283071f9e3,Seated Leg Curl,시티드 레그 컬,legs,hamstrings,machine,1,,FALSE,5,50,"{""value"": 5.0}",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0WF1Z0noSvGevv005-_BvyInQ85PP0QuSvA&s,,kg,FALSE
c33f7772-e9ec-485b-8f23-5378f504d995,2026-06-04T08:30:35.872252,2eec52b6-35a4-57ee-8591-72283071f9e3,Abdominal Crunch,앱도미널 크런치,core,abs,machine,1,,FALSE,5,50,"{""value"": 5.0}",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUmcB9XAm1VLhVkzBXhLjBhRD7WiT9ButRvA&s,,kg,FALSE
1cf084a3-bc08-4875-9163-4e6aeee6a055,2026-06-04T08:30:35.872252,2eec52b6-35a4-57ee-8591-72283071f9e3,Oblique,오블리크,core,abs,machine,1,,FALSE,5,50,"{""value"": 5.0}",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUmcB9XAm1VLhVkzBXhLjBhRD7WiT9ButRvA&s,,kg,FALSE
