exercise_name,equipment_id,source,confidence
Cable Twist (up-down),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Twist (up-down),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Lever Shoulder Press V. 2,74a84bde-b231-4aa9-9046-e1e1c935bada,seed,0.9
Lever Shoulder Press V. 2,a97c569a-fda7-5431-b694-14fac355921d,seed,0.9
Lever Shoulder Press V. 2,77138264-6d7e-422d-b23f-033ffab52c10,seed,0.9
Lever Shoulder Press V. 2,d9b7ac61-fdd3-4ab7-8be0-27b7d505df0d,seed,0.9
Lever Shoulder Press V. 2,7c8d3d90-04b9-432b-ab25-22d706821801,seed,0.9
Lever Shoulder Press V. 2,d45d8acd-a416-4170-9a2e-5e65c3a573ae,seed,0.9
Lever Shoulder Press V. 2,8c53382f-ef12-4f5e-aaca-c82c07ec35b0,seed,0.9
Lever Shoulder Press V. 2,8420631d-e82e-5b73-8d15-d957c90b4254,seed,0.9
Lever Shoulder Press V. 2,48255be6-dd0b-564a-9c80-65969f2f7f81,seed,0.9
Cable Reverse Crunch,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Reverse Crunch,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Crunch (with Rope Attachment),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Crunch (with Rope Attachment),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Decline One Arm Press,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Decline One Arm Press,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Decline Press,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Decline Press,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Decline Chest Fly,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Decline Chest Fly,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Fly On Exercise Ball,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Fly On Exercise Ball,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Incline Fly On Exercise Ball,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Incline Fly On Exercise Ball,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Incline Press,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Incline Press,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Incline Press On Exercise Ball,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Incline Press On Exercise Ball,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Press On Exercise Ball,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Press On Exercise Ball,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Press On Exercise Ball,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Press On Exercise Ball,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Up Straight Crossovers,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Up Straight Crossovers,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Upper Chest Crossovers,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Upper Chest Crossovers,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Lever Incline Chest Press,13052afb-36e6-4fef-8e5d-e6048c40e9a6,seed,0.9
Lever Incline Chest Press,e4913cd6-efd3-43d5-981a-45b5bc239977,seed,0.9
Lever Incline Chest Press,4989dc12-d0be-580d-a9b6-219ebd81add2,seed,0.9
Lever Incline Chest Press,59c360a7-6bab-5bdd-af4f-f642a0b29089,seed,0.9
Lever Incline Chest Press,209b9675-eca3-4bb8-8246-42ffd3c88bfe,seed,0.9
Lever Incline Chest Press,67bda34c-d1b7-4ae7-aa43-11bb74ae40a7,seed,0.9
Lever Incline Chest Press,814ba304-6aa1-4ba7-ba97-04df06fd8848,seed,0.9
Lever Incline Chest Press,0c6816c6-27e5-4cb2-a998-09ae8ef3a566,seed,0.9
Lever Incline Chest Press,5d7c3d55-2f30-4d43-97f5-5cddce04c959,seed,0.9
Lever Incline Chest Press,15282ad6-a3fc-4be8-a95a-5e974632adff,seed,0.9
Lever Incline Chest Press,910c3910-c313-47a6-8c7f-9161eea7de3d,seed,0.9
Lever Incline Chest Press,20092f3c-4999-49bd-8ba6-4f51b5d0014e,seed,0.9
Lever Incline Chest Press,ab765661-eb45-424e-ac36-10df2dabd391,seed,0.9
Lever Incline Chest Press,5bfab158-11ac-4dac-8ea2-462a7e95b233,seed,0.9
Lever Incline Chest Press,33e41f49-5a0a-4a67-bb84-e296e897667b,seed,0.9
Lever Incline Chest Press,a330d5f3-7577-467f-8ea4-25bc6549c4d0,seed,0.9
Lever Incline Chest Press,de9899fe-ebe1-48d3-8f1d-e97fb3cab291,seed,0.9
Lever Incline Chest Press,ca83c9ee-1ef4-4061-9477-db0d4e5dc8b1,seed,0.9
Lever Incline Chest Press,8db23cf2-ff9a-580f-8615-55c1f5b7d2d8,seed,0.9
Lever Decline Chest Press,13052afb-36e6-4fef-8e5d-e6048c40e9a6,seed,0.9
Lever Decline Chest Press,e4913cd6-efd3-43d5-981a-45b5bc239977,seed,0.9
Lever Decline Chest Press,4989dc12-d0be-580d-a9b6-219ebd81add2,seed,0.9
Lever Decline Chest Press,59c360a7-6bab-5bdd-af4f-f642a0b29089,seed,0.9
Lever Decline Chest Press,209b9675-eca3-4bb8-8246-42ffd3c88bfe,seed,0.9
Lever Decline Chest Press,67bda34c-d1b7-4ae7-aa43-11bb74ae40a7,seed,0.9
Lever Decline Chest Press,814ba304-6aa1-4ba7-ba97-04df06fd8848,seed,0.9
Lever Decline Chest Press,0c6816c6-27e5-4cb2-a998-09ae8ef3a566,seed,0.9
Lever Decline Chest Press,5d7c3d55-2f30-4d43-97f5-5cddce04c959,seed,0.9
Lever Decline Chest Press,15282ad6-a3fc-4be8-a95a-5e974632adff,seed,0.9
Lever Decline Chest Press,910c3910-c313-47a6-8c7f-9161eea7de3d,seed,0.9
Lever Decline Chest Press,20092f3c-4999-49bd-8ba6-4f51b5d0014e,seed,0.9
Lever Decline Chest Press,ab765661-eb45-424e-ac36-10df2dabd391,seed,0.9
Lever Decline Chest Press,5bfab158-11ac-4dac-8ea2-462a7e95b233,seed,0.9
Lever Decline Chest Press,33e41f49-5a0a-4a67-bb84-e296e897667b,seed,0.9
Lever Decline Chest Press,a330d5f3-7577-467f-8ea4-25bc6549c4d0,seed,0.9
Lever Decline Chest Press,de9899fe-ebe1-48d3-8f1d-e97fb3cab291,seed,0.9
Lever Decline Chest Press,ca83c9ee-1ef4-4061-9477-db0d4e5dc8b1,seed,0.9
Lever Decline Chest Press,8db23cf2-ff9a-580f-8615-55c1f5b7d2d8,seed,0.9
Machine Inner Chest Press,13052afb-36e6-4fef-8e5d-e6048c40e9a6,seed,0.9
Machine Inner Chest Press,e4913cd6-efd3-43d5-981a-45b5bc239977,seed,0.9
Machine Inner Chest Press,4989dc12-d0be-580d-a9b6-219ebd81add2,seed,0.9
Machine Inner Chest Press,59c360a7-6bab-5bdd-af4f-f642a0b29089,seed,0.9
Machine Inner Chest Press,209b9675-eca3-4bb8-8246-42ffd3c88bfe,seed,0.9
Machine Inner Chest Press,67bda34c-d1b7-4ae7-aa43-11bb74ae40a7,seed,0.9
Machine Inner Chest Press,814ba304-6aa1-4ba7-ba97-04df06fd8848,seed,0.9
Machine Inner Chest Press,0c6816c6-27e5-4cb2-a998-09ae8ef3a566,seed,0.9
Machine Inner Chest Press,5d7c3d55-2f30-4d43-97f5-5cddce04c959,seed,0.9
Machine Inner Chest Press,15282ad6-a3fc-4be8-a95a-5e974632adff,seed,0.9
Machine Inner Chest Press,910c3910-c313-47a6-8c7f-9161eea7de3d,seed,0.9
Machine Inner Chest Press,20092f3c-4999-49bd-8ba6-4f51b5d0014e,seed,0.9
Machine Inner Chest Press,ab765661-eb45-424e-ac36-10df2dabd391,seed,0.9
Machine Inner Chest Press,5bfab158-11ac-4dac-8ea2-462a7e95b233,seed,0.9
Machine Inner Chest Press,33e41f49-5a0a-4a67-bb84-e296e897667b,seed,0.9
Machine Inner Chest Press,a330d5f3-7577-467f-8ea4-25bc6549c4d0,seed,0.9
Machine Inner Chest Press,de9899fe-ebe1-48d3-8f1d-e97fb3cab291,seed,0.9
Machine Inner Chest Press,ca83c9ee-1ef4-4061-9477-db0d4e5dc8b1,seed,0.9
Machine Inner Chest Press,8db23cf2-ff9a-580f-8615-55c1f5b7d2d8,seed,0.9
Smith Wide Grip Bench Press,f6fe186b-bff6-40ee-9672-23abbe856b6d,seed,0.9
Smith Wide Grip Decline Bench Press,f6fe186b-bff6-40ee-9672-23abbe856b6d,seed,0.9
Lever Unilateral Row,dc823fdb-8cc0-59db-8d4a-7fd03575723d,seed,0.9
Lever Unilateral Row,be8c8a43-281e-5331-8539-e5ecf1b2cba1,seed,0.9
Lever Unilateral Row,e4b68832-bd2d-4996-a062-f08c96736e23,seed,0.9
Lever Unilateral Row,d5123039-4a87-4e5c-97fd-bfcff2e65ed8,seed,0.9
Lever Unilateral Row,98aeba22-b028-49c2-adfb-b74ac5384589,seed,0.9
Lever Unilateral Row,22cbf7fd-44b5-429f-99dd-c90cf252935a,seed,0.9
Lever Unilateral Row,462123c8-665c-4973-b92f-af706f03ca79,seed,0.9
Lever Unilateral Row,b4b7db6f-fbd9-4a84-b21f-58328c0b0d00,seed,0.9
Lever Unilateral Row,b6bc5c86-ff02-48a0-a35c-9ee42172700f,seed,0.9
Lever Unilateral Row,4cfb1e70-3807-469a-8b56-072766c52ab4,seed,0.9
Lever Unilateral Row,fde366f4-3d4a-434d-b9ea-953ac2450e3d,seed,0.9
Lever Unilateral Row,ae593cd8-56a9-4175-ac62-599358819a80,seed,0.9
Lever Unilateral Row,1a4c5c46-b772-42eb-8d8f-d3193c870411,seed,0.9
Lever Unilateral Row,6d072212-c936-5af1-8dc5-6f05a5deb1b2,seed,0.9
Lever Unilateral Row,06d73bb4-7fce-51b6-ad03-e877eb6aaaf4,seed,0.9
Lever Unilateral Row,c92e39a8-4faf-59d4-9bcb-fad9de96c2df,seed,0.9
Lever Unilateral Row,14eea95a-3c5f-5e5d-a31e-37ac32953b2a,seed,0.9
Cable Incline Bench Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Incline Bench Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Palm Rotational Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Palm Rotational Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Rope Crossover Seated Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Rope Crossover Seated Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Rope Elevated Seated Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Rope Elevated Seated Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Rope Extension Incline Bench Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Rope Extension Incline Bench Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Rope Seated Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Rope Seated Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Upper Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Upper Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Wide Grip Rear Pulldown Behind Neck,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Wide Grip Rear Pulldown Behind Neck,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Lever One Arm Lateral Wide Pulldown,27632a4b-d5e9-40df-ba5a-6152d4153619,seed,0.9
Lever One Arm Lateral Wide Pulldown,fa0d0b81-9759-5f4b-8567-ba9a23a0a4ea,seed,0.9
Lever One Arm Lateral Wide Pulldown,724fbe01-a574-4b36-a28e-dcdcfdfcdae5,seed,0.9
Lever One Arm Lateral Wide Pulldown,b9b0ee51-610e-4546-bbf1-6172c3736808,seed,0.9
Lever One Arm Lateral Wide Pulldown,73068157-25fc-4359-817f-e4820f8eaa3f,seed,0.9
Lever One Arm Lateral Wide Pulldown,92e82d08-8376-4b76-a3f6-9701d49d33a1,seed,0.9
Lever One Arm Lateral Wide Pulldown,ec620436-cabb-4f29-8813-1645eb4bd0ee,seed,0.9
Lever One Arm Lateral Wide Pulldown,ca6e2e7b-b2ee-4b0a-85fb-2ee516373357,seed,0.9
Lever One Arm Lateral Wide Pulldown,00f1ee81-9b15-43b8-aa1e-f4497ce00ed9,seed,0.9
Lever One Arm Lateral Wide Pulldown,c0e9d8dd-ef31-449c-92a0-5f533132e578,seed,0.9
Lever One Arm Lateral Wide Pulldown,568857d6-f3e0-5905-9f60-18ce5180a4e1,seed,0.9
Lever One Arm Lateral Wide Pulldown,325e25e2-4b64-5d2b-8e8e-e6871f9657b3,seed,0.9
Lever Reverse Grip Vertical Row,dc823fdb-8cc0-59db-8d4a-7fd03575723d,seed,0.9
Lever Reverse Grip Vertical Row,be8c8a43-281e-5331-8539-e5ecf1b2cba1,seed,0.9
Lever Reverse Grip Vertical Row,e4b68832-bd2d-4996-a062-f08c96736e23,seed,0.9
Lever Reverse Grip Vertical Row,d5123039-4a87-4e5c-97fd-bfcff2e65ed8,seed,0.9
Lever Reverse Grip Vertical Row,98aeba22-b028-49c2-adfb-b74ac5384589,seed,0.9
Lever Reverse Grip Vertical Row,22cbf7fd-44b5-429f-99dd-c90cf252935a,seed,0.9
Lever Reverse Grip Vertical Row,462123c8-665c-4973-b92f-af706f03ca79,seed,0.9
Lever Reverse Grip Vertical Row,b4b7db6f-fbd9-4a84-b21f-58328c0b0d00,seed,0.9
Lever Reverse Grip Vertical Row,b6bc5c86-ff02-48a0-a35c-9ee42172700f,seed,0.9
Lever Reverse Grip Vertical Row,4cfb1e70-3807-469a-8b56-072766c52ab4,seed,0.9
Lever Reverse Grip Vertical Row,fde366f4-3d4a-434d-b9ea-953ac2450e3d,seed,0.9
Lever Reverse Grip Vertical Row,ae593cd8-56a9-4175-ac62-599358819a80,seed,0.9
Lever Reverse Grip Vertical Row,1a4c5c46-b772-42eb-8d8f-d3193c870411,seed,0.9
Lever Reverse Grip Vertical Row,6d072212-c936-5af1-8dc5-6f05a5deb1b2,seed,0.9
Lever Reverse Grip Vertical Row,06d73bb4-7fce-51b6-ad03-e877eb6aaaf4,seed,0.9
Lever Reverse Grip Vertical Row,c92e39a8-4faf-59d4-9bcb-fad9de96c2df,seed,0.9
Lever Reverse Grip Vertical Row,14eea95a-3c5f-5e5d-a31e-37ac32953b2a,seed,0.9
Lever Reverse T-bar Row,dc823fdb-8cc0-59db-8d4a-7fd03575723d,seed,0.9
Lever Reverse T-bar Row,be8c8a43-281e-5331-8539-e5ecf1b2cba1,seed,0.9
Lever Reverse T-bar Row,e4b68832-bd2d-4996-a062-f08c96736e23,seed,0.9
Lever Reverse T-bar Row,d5123039-4a87-4e5c-97fd-bfcff2e65ed8,seed,0.9
Lever Reverse T-bar Row,98aeba22-b028-49c2-adfb-b74ac5384589,seed,0.9
Lever Reverse T-bar Row,22cbf7fd-44b5-429f-99dd-c90cf252935a,seed,0.9
Lever Reverse T-bar Row,462123c8-665c-4973-b92f-af706f03ca79,seed,0.9
Lever Reverse T-bar Row,b4b7db6f-fbd9-4a84-b21f-58328c0b0d00,seed,0.9
Lever Reverse T-bar Row,b6bc5c86-ff02-48a0-a35c-9ee42172700f,seed,0.9
Lever Reverse T-bar Row,4cfb1e70-3807-469a-8b56-072766c52ab4,seed,0.9
Lever Reverse T-bar Row,fde366f4-3d4a-434d-b9ea-953ac2450e3d,seed,0.9
Lever Reverse T-bar Row,ae593cd8-56a9-4175-ac62-599358819a80,seed,0.9
Lever Reverse T-bar Row,1a4c5c46-b772-42eb-8d8f-d3193c870411,seed,0.9
Lever Reverse T-bar Row,6d072212-c936-5af1-8dc5-6f05a5deb1b2,seed,0.9
Lever Reverse T-bar Row,06d73bb4-7fce-51b6-ad03-e877eb6aaaf4,seed,0.9
Lever Reverse T-bar Row,c92e39a8-4faf-59d4-9bcb-fad9de96c2df,seed,0.9
Lever Reverse T-bar Row,14eea95a-3c5f-5e5d-a31e-37ac32953b2a,seed,0.9
Lever Seated Row,dc823fdb-8cc0-59db-8d4a-7fd03575723d,seed,0.9
Lever Seated Row,be8c8a43-281e-5331-8539-e5ecf1b2cba1,seed,0.9
Lever Seated Row,e4b68832-bd2d-4996-a062-f08c96736e23,seed,0.9
Lever Seated Row,d5123039-4a87-4e5c-97fd-bfcff2e65ed8,seed,0.9
Lever Seated Row,98aeba22-b028-49c2-adfb-b74ac5384589,seed,0.9
Lever Seated Row,22cbf7fd-44b5-429f-99dd-c90cf252935a,seed,0.9
Lever Seated Row,462123c8-665c-4973-b92f-af706f03ca79,seed,0.9
Lever Seated Row,b4b7db6f-fbd9-4a84-b21f-58328c0b0d00,seed,0.9
Lever Seated Row,b6bc5c86-ff02-48a0-a35c-9ee42172700f,seed,0.9
Lever Seated Row,4cfb1e70-3807-469a-8b56-072766c52ab4,seed,0.9
Lever Seated Row,fde366f4-3d4a-434d-b9ea-953ac2450e3d,seed,0.9
Lever Seated Row,ae593cd8-56a9-4175-ac62-599358819a80,seed,0.9
Lever Seated Row,1a4c5c46-b772-42eb-8d8f-d3193c870411,seed,0.9
Lever Seated Row,6d072212-c936-5af1-8dc5-6f05a5deb1b2,seed,0.9
Lever Seated Row,06d73bb4-7fce-51b6-ad03-e877eb6aaaf4,seed,0.9
Lever Seated Row,c92e39a8-4faf-59d4-9bcb-fad9de96c2df,seed,0.9
Lever Seated Row,14eea95a-3c5f-5e5d-a31e-37ac32953b2a,seed,0.9
Lever T-bar Reverse Grip Row,dc823fdb-8cc0-59db-8d4a-7fd03575723d,seed,0.9
Lever T-bar Reverse Grip Row,be8c8a43-281e-5331-8539-e5ecf1b2cba1,seed,0.9
Lever T-bar Reverse Grip Row,e4b68832-bd2d-4996-a062-f08c96736e23,seed,0.9
Lever T-bar Reverse Grip Row,d5123039-4a87-4e5c-97fd-bfcff2e65ed8,seed,0.9
Lever T-bar Reverse Grip Row,98aeba22-b028-49c2-adfb-b74ac5384589,seed,0.9
Lever T-bar Reverse Grip Row,22cbf7fd-44b5-429f-99dd-c90cf252935a,seed,0.9
Lever T-bar Reverse Grip Row,462123c8-665c-4973-b92f-af706f03ca79,seed,0.9
Lever T-bar Reverse Grip Row,b4b7db6f-fbd9-4a84-b21f-58328c0b0d00,seed,0.9
Lever T-bar Reverse Grip Row,b6bc5c86-ff02-48a0-a35c-9ee42172700f,seed,0.9
Lever T-bar Reverse Grip Row,4cfb1e70-3807-469a-8b56-072766c52ab4,seed,0.9
Lever T-bar Reverse Grip Row,fde366f4-3d4a-434d-b9ea-953ac2450e3d,seed,0.9
Lever T-bar Reverse Grip Row,ae593cd8-56a9-4175-ac62-599358819a80,seed,0.9
Lever T-bar Reverse Grip Row,1a4c5c46-b772-42eb-8d8f-d3193c870411,seed,0.9
Lever T-bar Reverse Grip Row,6d072212-c936-5af1-8dc5-6f05a5deb1b2,seed,0.9
Lever T-bar Reverse Grip Row,06d73bb4-7fce-51b6-ad03-e877eb6aaaf4,seed,0.9
Lever T-bar Reverse Grip Row,c92e39a8-4faf-59d4-9bcb-fad9de96c2df,seed,0.9
Lever T-bar Reverse Grip Row,14eea95a-3c5f-5e5d-a31e-37ac32953b2a,seed,0.9
Lever One Arm Lateral High Row,dc823fdb-8cc0-59db-8d4a-7fd03575723d,seed,0.9
Lever One Arm Lateral High Row,be8c8a43-281e-5331-8539-e5ecf1b2cba1,seed,0.9
Lever One Arm Lateral High Row,e4b68832-bd2d-4996-a062-f08c96736e23,seed,0.9
Lever One Arm Lateral High Row,d5123039-4a87-4e5c-97fd-bfcff2e65ed8,seed,0.9
Lever One Arm Lateral High Row,98aeba22-b028-49c2-adfb-b74ac5384589,seed,0.9
Lever One Arm Lateral High Row,22cbf7fd-44b5-429f-99dd-c90cf252935a,seed,0.9
Lever One Arm Lateral High Row,462123c8-665c-4973-b92f-af706f03ca79,seed,0.9
Lever One Arm Lateral High Row,b4b7db6f-fbd9-4a84-b21f-58328c0b0d00,seed,0.9
Lever One Arm Lateral High Row,b6bc5c86-ff02-48a0-a35c-9ee42172700f,seed,0.9
Lever One Arm Lateral High Row,4cfb1e70-3807-469a-8b56-072766c52ab4,seed,0.9
Lever One Arm Lateral High Row,fde366f4-3d4a-434d-b9ea-953ac2450e3d,seed,0.9
Lever One Arm Lateral High Row,ae593cd8-56a9-4175-ac62-599358819a80,seed,0.9
Lever One Arm Lateral High Row,1a4c5c46-b772-42eb-8d8f-d3193c870411,seed,0.9
Lever One Arm Lateral High Row,6d072212-c936-5af1-8dc5-6f05a5deb1b2,seed,0.9
Lever One Arm Lateral High Row,06d73bb4-7fce-51b6-ad03-e877eb6aaaf4,seed,0.9
Lever One Arm Lateral High Row,c92e39a8-4faf-59d4-9bcb-fad9de96c2df,seed,0.9
Lever One Arm Lateral High Row,14eea95a-3c5f-5e5d-a31e-37ac32953b2a,seed,0.9
Smith Bent Over Row,f6fe186b-bff6-40ee-9672-23abbe856b6d,seed,0.9
Smith One Arm Row,f6fe186b-bff6-40ee-9672-23abbe856b6d,seed,0.9
